Date,DJI_value(t-1),DJI_value(t-2),DJI_value(t-3),DJI_value(t-4),DJI_value(t-5),DJI_value(t-6),DJI_value(t-7),DJI_value(t-8),DJI_value(t-9),DJI_value(t-10),DJI_direction
6/1/2010,0,1,0,1,0,1,1,1,1,1,1
7/1/2010,1,0,1,0,1,0,1,1,1,1,1
8/1/2010,1,1,0,1,0,1,0,1,1,1,1
11/1/2010,1,1,1,0,1,0,1,0,1,1,1
12/1/2010,1,1,1,1,0,1,0,1,0,1,0
13/1/2010,0,1,1,1,1,0,1,0,1,0,1
14/1/2010,1,0,1,1,1,1,0,1,0,1,1
15/1/2010,1,1,0,1,1,1,1,0,1,0,0
19/1/2010,0,1,1,0,1,1,1,1,0,1,1
20/1/2010,1,0,1,1,0,1,1,1,1,0,0
21/1/2010,0,1,0,1,1,0,1,1,1,1,0
22/1/2010,0,0,1,0,1,1,0,1,1,1,0
25/1/2010,0,0,0,1,0,1,1,0,1,1,1
26/1/2010,1,0,0,0,1,0,1,1,0,1,0
27/1/2010,0,1,0,0,0,1,0,1,1,0,1
28/1/2010,1,0,1,0,0,0,1,0,1,1,0
29/1/2010,0,1,0,1,0,0,0,1,0,1,0
1/2/2010,0,0,1,0,1,0,0,0,1,0,1
2/2/2010,1,0,0,1,0,1,0,0,0,1,1
3/2/2010,1,1,0,0,1,0,1,0,0,0,0
4/2/2010,0,1,1,0,0,1,0,1,0,0,0
5/2/2010,0,0,1,1,0,0,1,0,1,0,1
8/2/2010,1,0,0,1,1,0,0,1,0,1,0
9/2/2010,0,1,0,0,1,1,0,0,1,0,1
10/2/2010,1,0,1,0,0,1,1,0,0,1,0
11/2/2010,0,1,0,1,0,0,1,1,0,0,1
12/2/2010,1,0,1,0,1,0,0,1,1,0,0
16/2/2010,0,1,0,1,0,1,0,0,1,1,1
17/2/2010,1,0,1,0,1,0,1,0,0,1,1
18/2/2010,1,1,0,1,0,1,0,1,0,0,1
19/2/2010,1,1,1,0,1,0,1,0,1,0,1
22/2/2010,1,1,1,1,0,1,0,1,0,1,0
23/2/2010,0,1,1,1,1,0,1,0,1,0,0
24/2/2010,0,0,1,1,1,1,0,1,0,1,1
25/2/2010,1,0,0,1,1,1,1,0,1,0,0
26/2/2010,0,1,0,0,1,1,1,1,0,1,1
1/3/2010,1,0,1,0,0,1,1,1,1,0,1
2/3/2010,1,1,0,1,0,0,1,1,1,1,1
3/3/2010,1,1,1,0,1,0,0,1,1,1,0
4/3/2010,0,1,1,1,0,1,0,0,1,1,1
5/3/2010,1,0,1,1,1,0,1,0,0,1,1
8/3/2010,1,1,0,1,1,1,0,1,0,0,0
9/3/2010,0,1,1,0,1,1,1,0,1,0,1
10/3/2010,1,0,1,1,0,1,1,1,0,1,1
11/3/2010,1,1,0,1,1,0,1,1,1,0,1
12/3/2010,1,1,1,0,1,1,0,1,1,1,1
15/3/2010,1,1,1,1,0,1,1,0,1,1,1
16/3/2010,1,1,1,1,1,0,1,1,0,1,1
17/3/2010,1,1,1,1,1,1,0,1,1,0,1
18/3/2010,1,1,1,1,1,1,1,0,1,1,1
19/3/2010,1,1,1,1,1,1,1,1,0,1,0
22/3/2010,0,1,1,1,1,1,1,1,1,0,1
23/3/2010,1,0,1,1,1,1,1,1,1,1,1
24/3/2010,1,1,0,1,1,1,1,1,1,1,0
25/3/2010,0,1,1,0,1,1,1,1,1,1,1
26/3/2010,1,0,1,1,0,1,1,1,1,1,1
29/3/2010,1,1,0,1,1,0,1,1,1,1,1
